"","Full.Address","CAD.inc.Number","Nature.of.Call","Unit","Date.Time.Received","Date.Time.Dispatched","Date.Time.Arrived","Date.Time.Cleared","first.responder","first.responder.response.time","IncType","LocType","LocName","NearTag","Address","lon","lat","is.first.responder","Date","Date.Short","Year.Month","Month","Year","bad.geocode","Y","X","from.Lowell","from.HQ","from.FiveFifteen","from.JoyWashington"
"28","103 CONCORD AVE, Somerville, Massachusetts","1310670","MEDICAL AID","E3","10/26/2013 18:02","10/26/2013 18:02","10/26/2013 18:06","10/26/2013 18:08","E3",3.83,"MEDICAL AID","S","CONCORD AV","DIMICK ST AND BEACON ST","103 CONCORD AV",-71.102052,42.375678,1,2013-10-26 18:02:00,2013-10-26,"2013-10","10","2013",0,42.375678,-71.102052,"5.05","8.46666666666667","3.51666666666667","5.23333333333333"
"29","103 MARION ST, Somerville, Massachusetts","1206928","MEDICAL AID","E3","8/12/2012 20:52","8/12/2012 20:52","8/12/2012 20:56","8/12/2012 21:03","E3",3.67,"MEDICAL AID","S","MARION ST","WYATT ST AND DIMICK ST","103 MARION ST",-71.103287,42.3774058,1,2012-08-12 20:52:00,2012-08-13,"2012-08","08","2012",0,42.3774058,-71.103287,"4.1","8.75","2.66666666666667","5.5"
"30","103 WASHINGTON ST, Somerville, Massachusetts","1211242","FIRE","E3","12/10/2012 7:43","12/10/2012 7:44","12/10/2012 7:48","12/10/2012 7:51","E3",4.32,"FIRE","B","BAY STATE AUTOMOTIVE","FRANKLIN ST AND TUFTS ST","103 WASHINGTON ST",-71.0864947,42.3815753,1,2012-12-10 07:43:00,2012-12-10,"2012-12","12","2012",0,42.3815753,-71.0864947,"9.55","4.88333333333333","8.11666666666667","2.35"
"31","104 SCHOOL ST, Somerville, Massachusetts","1202002","MEDICAL AID","E3","3/11/2012 10:33","3/11/2012 10:34","3/11/2012 10:39","3/11/2012 10:55","E3",5.05,"MEDICAL AID","S","SCHOOL ST","BERKELEY ST AND OXFORD ST","104 SCHOOL ST",-71.0993353,42.3859679,1,2012-03-11 10:33:00,2012-03-11,"2012-03","03","2012",0,42.3859679,-71.0993353,"5.03333333333333","5.73333333333333","3.9","4.41666666666667"
"32","11 ALBION ST, Somerville, Massachusetts","1311847","B FIRE ALARM","E3","11/27/2013 16:41","11/27/2013 16:42","11/27/2013 16:45","11/27/2013 16:54","E3",2.87,"B FIRE ALARM","S","ALBION ST","CENTRAL ST AND CENTRE ST","11 ALBION ST",-71.103117,42.3899483,1,2013-11-27 16:41:00,2013-11-27,"2013-11","11","2013",0,42.3899483,-71.103117,"3.96666666666667","5.43333333333333","3.11666666666667","6.16666666666667"
"33","11 ARNOLD CT, Somerville, Massachusetts","1300732","A FIRE ALARM","E1","1/23/2013 5:03","1/23/2013 5:03","1/23/2013 5:09","1/23/2013 5:14","E1",5.2,"A FIRE ALARM","S","ARNOLD CT","185 BEACON ST AND DEAD END","11 ARNOLD CT",-71.1081884,42.3802192,1,2013-01-23 05:03:00,2013-01-23,"2013-01","01","2013",0,42.3802192,-71.1081884,"3.05","9.43333333333333","1.98333333333333","6.2"
"34","11 BEACON ST, Somerville, Massachusetts","1400098","S FIRE ALARM","E3","1/3/2014 14:09","1/3/2014 14:10","1/3/2014 14:14","1/3/2014 14:18","E3",4.55,"S FIRE ALARM","S","BEACON ST","DICKINSON ST AND CONCORD AV","11 BEACON ST",-71.101749,42.374866,1,2014-01-03 14:09:00,2014-01-03,"2014-01","01","2014",0,42.374866,-71.101749,"4.96666666666667","9.78333333333333","3.71666666666667","6.55"
"35","11 FREMONT AVE, Somerville, Massachusetts","1411917","MEDICAL AID","E3","11/30/2014 2:16","11/30/2014 2:16","11/30/2014 2:21","11/30/2014 2:38","E3",5.08,"MEDICAL AID","S","FREMONT AV","BOWDOIN ST AND DEAD END","11 FREMONT AV",-71.100215,42.3785534,1,2014-11-30 02:16:00,2014-11-30,"2014-11","11","2014",0,42.3785534,-71.100215,"4.4","7.88333333333333","2.96666666666667","4.65"
"36","11 HOMER SQ, Somerville, Massachusetts","1201462","A FIRE ALARM","E3","2/21/2012 22:48","2/21/2012 22:49","2/21/2012 22:52","2/21/2012 22:55","E3",3.22,"A FIRE ALARM","S","HOMER SQ","10 BONNER AV AND DEAD END","11 HOMER SQ",-71.0940684,42.3802831,1,2012-02-21 22:48:00,2012-02-22,"2012-02","02","2012",0,42.3802831,-71.0940684,"5.85","5.71666666666667","4.41666666666667","2.48333333333333"
"37","11 MAINE AVE, Somerville, Massachusetts","1300369","FIRE","E3","1/11/2013 16:57","1/11/2013 16:59","1/11/2013 17:03","1/11/2013 17:05","E3",3.43,"FIRE","S","MAINE AV","PENNSYLVANIA AV AND MAINE TER","11 MAINE AV",-71.081276,42.3887428,1,2013-01-11 16:57:00,2013-01-11,"2013-01","01","2013",0,42.3887428,-71.081276,"11.7666666666667","4.25","10.3333333333333","4.63333333333333"
"38","11 PRESTON RD, Somerville, Massachusetts","1405115","B FIRE ALARM","E3","6/1/2014 0:59","6/1/2014 1:00","6/1/2014 1:04","6/1/2014 1:15","E3",4.38,"B FIRE ALARM","S","PRESTON RD","SCHOOL ST AND SUMMER ST","11 PRESTON RD",-71.101359,42.384168,1,2014-06-01 00:59:00,2014-06-01,"2014-06","06","2014",0,42.384168,-71.101359,"3.23333333333333","7.15","2.61666666666667","5.43333333333333"
"39","11 WILLIAMS CT, Somerville, Massachusetts","1306761","OUTSIDE FIRE","E1","7/14/2013 20:59","7/14/2013 21:01","7/14/2013 21:03","7/14/2013 21:07","E1",2.9,"OUTSIDE FIRE","S","WILLIAMS CT","22 PORTER ST AND DEAD END","11 WILLIAMS CT",-71.1133932,42.3877339,1,2013-07-14 20:59:00,2013-07-15,"2013-07","07","2013",0,42.3877339,-71.1133932,"1.55","9.03333333333333","2.75","7.81666666666667"
"40","111 ELM ST, Somerville, Massachusetts","1407989","MEDICAL AID","E1","8/15/2014 19:59","8/15/2014 19:59","8/15/2014 19:59","8/15/2014 20:05","E1",0,"MEDICAL AID","S","ELM ST","HANCOCK ST AND BURNSIDE AV","111 ELM ST",-71.1171716,42.390093,1,2014-08-15 19:59:00,2014-08-16,"2014-08","08","2014",0,42.390093,-71.1171716,"3.36666666666667","9.81666666666667","4.56666666666667","8.81666666666667"
"41","111 SOUTH ST, Somerville, Massachusetts","1204141","MEDICAL AID","E3","5/19/2012 19:08","5/19/2012 19:09","5/19/2012 19:12","5/19/2012 19:16","E3",3.2,"MEDICAL AID","B","OFFICE BUILDING","EARLE ST AND WINDSOR ST","111 SOUTH ST",-71.0916447,42.3751015,1,2012-05-19 19:08:00,2012-05-20,"2012-05","05","2012",0,42.3751015,-71.0916447,"7.2","5.88333333333333","5.78333333333333","3.4"
"42","117 ALBION ST, Somerville, Massachusetts","1201676","MEDICAL AID","E1","2/29/2012 9:01","2/29/2012 9:01","2/29/2012 9:05","2/29/2012 9:24","E1",3.58,"MEDICAL AID","S","ALBION ST","LOWELL ST AND ALBION PL","117 ALBION ST",-71.108345,42.392113,1,2012-02-29 09:01:00,2012-02-29,"2012-02","02","2012",0,42.392113,-71.108345,"2.73333333333333","6.81666666666667","3.93333333333333","7.21666666666667"
"43","117 SUMMER ST, Somerville, Massachusetts","1204654","MEDICAL AID","E3","6/6/2012 17:20","6/6/2012 17:21","6/6/2012 17:25","6/6/2012 17:32","E3",3.83,"MEDICAL AID","B","SOMERVILLE HOME","SCHOOL ST AND CENTRAL ST","117 SUMMER ST",-71.1027996,42.385656,1,2012-06-06 17:20:00,2012-06-06,"2012-06","06","2012",0,42.385656,-71.1027996,"3.33333333333333","7.23333333333333","2.5","6.85"
"44","12 CARLTON ST, Somerville, Massachusetts","1211427","MEDICAL AID","E3","12/15/2012 12:39","12/15/2012 12:39","12/15/2012 12:43","12/15/2012 12:55","E3",3.32,"MEDICAL AID","S","CARLTON ST","SOMERVILLE AV AND LAKE ST","12 CARLTON ST",-71.0995952,42.380757,1,2012-12-15 12:39:00,2012-12-15,"2012-12","12","2012",0,42.380757,-71.0995952,"3.4","7.13333333333333","1.98333333333333","4.93333333333333"
"45","12 KILBY ST, Somerville, Massachusetts","1210662","A FIRE ALARM","E3","11/21/2012 22:14","11/21/2012 22:14","11/21/2012 22:17","11/21/2012 22:23","E3",2.95,"A FIRE ALARM","S","KILBY ST","360 SOMERVILLE AV AND DEAD END","12 KILBY ST",-71.0991799,42.3805033,1,2012-11-21 22:14:00,2012-11-22,"2012-11","11","2012",0,42.3805033,-71.0991799,"3.45","6.6","2.01666666666667","4.63333333333333"
"46","12 LAKE ST, Somerville, Massachusetts","1303918","MEDICAL AID","E3","4/24/2013 5:54","4/24/2013 5:54","4/24/2013 5:59","4/24/2013 6:07","E3",4.72,"MEDICAL AID","S","LAKE ST","OLIVE SQ AND CHURCH ST","12 LAKE ST",-71.098881,42.3799777,1,2013-04-24 05:54:00,2013-04-24,"2013-04","04","2013",0,42.3799777,-71.098881,"4.11666666666667","7.35","2.68333333333333","4.11666666666667"
"47","12 LINCOLN PKWY, Somerville, Massachusetts","1406887","HAZMAT INC A","E3","7/18/2014 8:32","7/18/2014 8:33","7/18/2014 8:36","7/18/2014 8:49","E3",3.48,"HAZMAT INC A","S","LINCOLN PKWY","CLARK ST AND JOSEPH ST","12 LINCOLN PKWY",-71.0984567,42.3781204,1,2014-07-18 08:32:00,2014-07-18,"2014-07","07","2014",0,42.3781204,-71.0984567,"6.41666666666667","8.41666666666667","5","5.18333333333333"
"48","12 LINDEN CIR, Somerville, Massachusetts","1402769","MEDICAL AID","E1","3/24/2014 22:22","3/24/2014 22:23","3/24/2014 22:27","3/24/2014 22:34","E1",3.38,"MEDICAL AID","S","LINDEN CIR","19 LINDEN AV AND DEAD END","12 LINDEN CIR",-71.1133408,42.387936,1,2014-03-24 22:22:00,2014-03-25,"2014-03","03","2014",0,42.387936,-71.1133408,"1.66666666666667","10.0333333333333","2.86666666666667","8.56666666666667"
"49","12 PEARSON AVE, Somerville, Massachusetts","1307728","A FIRE ALARM","E1","8/9/2013 13:16","8/9/2013 13:16","8/9/2013 13:18","8/9/2013 13:25","E1",2.05,"A FIRE ALARM","S","PEARSON AV","MORRISON AV AND KIDDER AV","12 PEARSON AV",-71.1125901,42.3953907,1,2013-08-09 13:16:00,2013-08-09,"2013-08","08","2013",0,42.3953907,-71.1125901,"6.43333333333333","9.11666666666667","7.63333333333333","10.7333333333333"
"50","12 PLEASANT AVE, Somerville, Massachusetts","1302277","A FIRE ALARM","E3","3/5/2013 19:35","3/5/2013 19:37","3/5/2013 19:41","3/5/2013 19:48","E3",3.15,"A FIRE ALARM","S","PLEASANT AV","WALNUT ST AND VINAL AV","12 PLEASANT AV",-71.0957922,42.3842569,1,2013-03-05 19:35:00,2013-03-06,"2013-03","03","2013",0,42.3842569,-71.0957922,"5.8","5.41666666666667","4.36666666666667","4.05"
"51","12 PUTNAM ST, Somerville, Massachusetts","1210596","MEDICAL AID","E3","11/19/2012 15:55","11/19/2012 15:55","11/19/2012 15:57","11/19/2012 16:06","E3",1.6,"MEDICAL AID","S","PUTNAM ST","SUMMER ST AND HIGHLAND AV","12 PUTNAM ST",-71.09891,42.383707,1,2012-11-19 15:55:00,2012-11-19,"2012-11","11","2012",0,42.383707,-71.09891,"3.68333333333333","5.51666666666667","2.48333333333333","4.15"
"52","12 SKEHAN ST, Somerville, Massachusetts","1304674","A FIRE ALARM","E1","5/16/2013 9:07","5/16/2013 9:10","5/16/2013 9:13","5/16/2013 9:16","E1",3.07,"A FIRE ALARM","S","SKEHAN ST","DANE ST AND HANSON ST","12 SKEHAN ST",-71.1049829,42.3799171,1,2013-05-16 09:07:00,2013-05-16,"2013-05","05","2013",0,42.3799171,-71.1049829,"3.03333333333333","8.56666666666667","1.6","5.46666666666667"
"53","12 TYLER ST, Somerville, Massachusetts","1308298","MEDICAL AID","E1","8/25/2013 10:58","8/25/2013 10:59","8/25/2013 11:01","8/25/2013 11:21","E1",2.82,"MEDICAL AID","B","BROOKLYN BOULDERS","DANE ST AND PROPERZI WY","12 TYLER ST",-71.1063031,42.3816543,1,2013-08-25 10:58:00,2013-08-25,"2013-08","08","2013",0,42.3816543,-71.1063031,"1.71666666666667","8.83333333333333","0.65","6.31666666666667"
"54","12 TYLER ST, Somerville, Massachusetts","1310176","MEDICAL AID","E1","10/12/2013 18:49","10/12/2013 18:49","10/12/2013 18:52","10/12/2013 19:10","E1",2.28,"MEDICAL AID","B","BROOKLYN BOULDERS","DANE ST AND PROPERZI WY","12 TYLER ST",-71.1063031,42.3816543,1,2013-10-12 18:49:00,2013-10-12,"2013-10","10","2013",0,42.3816543,-71.1063031,"1.71666666666667","8.83333333333333","0.65","6.31666666666667"
"55","12 TYLER ST, Somerville, Massachusetts","1410420","MEDICAL AID","E1","10/17/2014 22:11","10/17/2014 22:11","10/17/2014 22:14","10/17/2014 22:30","E1",2.6,"MEDICAL AID","B","BROOKLYN BOULDERS (FRONT DOOR)","DANE ST AND PROPERZI WY","12 TYLER ST",-71.1063031,42.3816543,1,2014-10-17 22:11:00,2014-10-18,"2014-10","10","2014",0,42.3816543,-71.1063031,"1.71666666666667","8.83333333333333","0.65","6.31666666666667"
"56","120 BEACON ST, Somerville, Massachusetts","1302276","S FIRE ALARM","E3","3/5/2013 18:35","3/5/2013 18:37","3/5/2013 18:40","3/5/2013 18:50","E3",3.42,"S FIRE ALARM","S","BEACON ST","SMITH AV AND WASHINGTON ST","120 BEACON ST",-71.1063818,42.3780339,1,2013-03-05 18:35:00,2013-03-05,"2013-03","03","2013",0,42.3780339,-71.1063818,"3.61666666666667","8.98333333333333","2.55","5.75"
"57","123 BEACON ST, Somerville, Massachusetts","1309806","MEDICAL AID","E3","10/1/2013 8:21","10/1/2013 8:21","10/1/2013 8:26","10/1/2013 8:33","E3",4.98,"MEDICAL AID","S","BEACON ST","BEACON PL AND WASHINGTON ST","123 BEACON ST",-71.1059393,42.378065,1,2013-10-01 08:21:00,2013-10-01,"2013-10","10","2013",0,42.378065,-71.1059393,"3.66666666666667","9.03333333333333","2.6","5.8"
"58","123 ELM ST, Somerville, Massachusetts","1411110","MEDICAL AID","E1","11/5/2014 21:55","11/5/2014 21:55","11/5/2014 21:58","11/5/2014 22:07","E1",2.9,"MEDICAL AID","S","ELM ST","BURNSIDE AV AND BANKS ST","123 ELM ST",-71.1176427,42.3905176,1,2014-11-05 21:55:00,2014-11-06,"2014-11","11","2014",0,42.3905176,-71.1176427,"3.3","9.75","4.5","8.75"
