"","Full.Address","CAD.inc.Number","Nature.of.Call","Unit","Date.Time.Received","Date.Time.Dispatched","Date.Time.Arrived","Date.Time.Cleared","first.responder","first.responder.response.time","IncType","LocType","LocName","NearTag","Address","lon","lat","is.first.responder","Date","Date.Short","Year.Month","Month","Year","bad.geocode","Y","X","from.Lowell","from.Lowell_in_traffic","from.HQ","from.HQ_in_traffic","from.FiveFifteen","from.FiveFifteen_in_traffic","from.JoyWashington","from.JoyWashington_in_traffic","from.Highland","from.Highland_in_traffic","from.Teele","from.Teele_in_traffic","from.Union","from.Union_in_traffic"
"13","1 CARVER ST, Somerville, Massachusetts","1301909","CARB MON DETECT","E1","2/23/2013 0:45","2/23/2013 0:46","2/23/2013 0:51","2/23/2013 0:56","E1",4.57,"CARB MON DETECT","S","CARVER ST","28 PORTER ST AND DEAD END","1 CARVER ST",-71.112679,42.387963,1,2013-02-23 00:45:00,2013-02-23,"2013-02","02","2013",0,42.387963,-71.112679,"1.5","1.53333333333333","8.78333333333333","10.3166666666667","2.73333333333333","3.05","7.66666666666667","9.9","1.38333333333333","1.35","7.63333333333333","8.38333333333333","6.31666666666667","7.83333333333333"
"14","1 DAVIS SQ, Somerville, Massachusetts","1401232","AUTO ACC INJURY","C3","2/4/2014 21:16","2/4/2014 21:16","2/4/2014 21:19","2/4/2014 21:49","C3",2.63,"AUTO ACC INJURY","B","CVS PHARMACY","DOVER ST AND DAY ST","1 DAVIS SQ",-71.1228198,42.3962292,1,2014-02-04 21:16:00,2014-02-05,"2014-02","02","2014",0,42.3962292,-71.1228198,"7.48333333333333","8.5","14.4833333333333","15.75","8.71666666666667","10.8333333333333","14.0833333333333","16.7333333333333","5.83333333333333","8.68333333333333","4.1","4.9","12.7166666666667","15.0166666666667"
"15","1 DAVIS SQ, Somerville, Massachusetts","1200043","MEDICAL AID","E6","1/2/2012 14:11","1/2/2012 14:11","1/2/2012 14:14","1/2/2012 14:25","E6",2.52,"MEDICAL AID","B","CVS PHARMACY","DOVER ST AND DAY ST","1 DAVIS SQ",-71.1228198,42.3962292,1,2012-01-02 14:11:00,2012-01-02,"2012-01","01","2012",0,42.3962292,-71.1228198,"7.48333333333333","8.5","14.4833333333333","15.75","8.71666666666667","10.8333333333333","14.0833333333333","16.7333333333333","5.83333333333333","8.68333333333333","4.1","4.9","12.7166666666667","15.0166666666667"
"16","1 DAVIS SQ, Somerville, Massachusetts","1403574","MEDICAL AID","E6","4/18/2014 15:47","4/18/2014 15:49","4/18/2014 15:51","4/18/2014 15:54","E6",2.17,"MEDICAL AID","B","CVS PHARMACY","DOVER ST AND DAY ST","1 DAVIS SQ",-71.1228198,42.3962292,1,2014-04-18 15:47:00,2014-04-18,"2014-04","04","2014",0,42.3962292,-71.1228198,"7.48333333333333","8.5","14.4833333333333","15.75","8.71666666666667","10.8333333333333","14.0833333333333","16.7333333333333","5.83333333333333","8.68333333333333","4.1","4.9","12.7166666666667","15.0166666666667"
"17","1 DAVIS SQ, Somerville, Massachusetts","1203578","MEDICAL AID","E6","5/1/2012 23:57","5/1/2012 23:58","5/2/2012 0:00","5/2/2012 0:05","E6",2.77,"MEDICAL AID","B","CVS PHARMACY","DOVER ST AND DAY ST","1 DAVIS SQ",-71.1228198,42.3962292,1,2012-05-01 23:57:00,2012-05-02,"2012-05","05","2012",0,42.3962292,-71.1228198,"7.48333333333333","8.5","14.4833333333333","15.75","8.71666666666667","10.8333333333333","14.0833333333333","16.7333333333333","5.83333333333333","8.68333333333333","4.1","4.9","12.7166666666667","15.0166666666667"
"18","1 FITCHBURG ST, Somerville, Massachusetts","1210049","STRIK BOX ALARM","E2","11/2/2012 14:31","11/2/2012 14:32","11/2/2012 14:35","11/2/2012 14:52","E2",2.88,"STRIK BOX ALARM","X","FITCHBURG ST","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2012-11-02 14:31:00,2012-11-02,"2012-11","11","2012",0,42.375714,-71.084375,"8.58333333333333","10.9","6.9","8.73333333333333","7.08333333333333","7.55","1.63333333333333","2.06666666666667","8.85","11.4","17.5","19.6166666666667","2.81666666666667","2.66666666666667"
"19","1 FITCHBURG ST, Somerville, Massachusetts","1407424","MEDICAL AID","E3","7/31/2014 19:56","7/31/2014 19:57","7/31/2014 20:00","7/31/2014 20:14","E3",3.1,"MEDICAL AID","B","BRICK BOTTOM ARTIST COLONY - F","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2014-07-31 19:56:00,2014-08-01,"2014-07","07","2014",0,42.375714,-71.084375,"8.58333333333333","10.9","6.9","8.73333333333333","7.08333333333333","7.55","1.63333333333333","2.06666666666667","8.85","11.4","17.5","19.6166666666667","2.81666666666667","2.66666666666667"
"20","1 FITCHBURG ST, Somerville, Massachusetts","1305638","A FIRE ALARM","E3","6/12/2013 0:27","6/12/2013 0:28","6/12/2013 0:31","6/12/2013 0:44","E3",3.35,"A FIRE ALARM","S","FITCHBURG ST","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2013-06-12 00:27:00,2013-06-12,"2013-06","06","2013",0,42.375714,-71.084375,"8.58333333333333","10.9","6.9","8.73333333333333","7.08333333333333","7.55","1.63333333333333","2.06666666666667","8.85","11.4","17.5","19.6166666666667","2.81666666666667","2.66666666666667"
"21","1 FITCHBURG ST, Somerville, Massachusetts","1300842","STRIK BOX ALARM","E3","1/26/2013 13:34","1/26/2013 13:35","1/26/2013 13:38","1/26/2013 13:43","E3",2.48,"STRIK BOX ALARM","X","FITCHBURG ST","3 LINWOOD ST AND DEAD END","1 FITCHBURG ST",-71.084375,42.375714,1,2013-01-26 13:34:00,2013-01-26,"2013-01","01","2013",0,42.375714,-71.084375,"8.58333333333333","10.9","6.9","8.73333333333333","7.08333333333333","7.55","1.63333333333333","2.06666666666667","8.85","11.4","17.5","19.6166666666667","2.81666666666667","2.66666666666667"
"22","1 FITCHBURG ST, Somerville, Massachusetts","1202273","MEDICAL AID","E2","3/20/2012 11:08","3/20/2012 11:10","3/20/2012 11:15","3/20/2012 11:22","E2",4.93,"MEDICAL AID","","FITCHBURG ST","","1 FITCHBURG ST",-71.084375,42.375714,1,2012-03-20 11:08:00,2012-03-20,"2012-03","03","2012",0,42.375714,-71.084375,"8.58333333333333","10.9","6.9","8.73333333333333","7.08333333333333","7.55","1.63333333333333","2.06666666666667","8.85","11.4","17.5","19.6166666666667","2.81666666666667","2.66666666666667"
"23","1 FRANEY RD, Somerville, Massachusetts","1303744","OUTSIDE FIRE","E3","4/19/2013 8:37","4/19/2013 8:37","4/19/2013 8:37","4/19/2013 8:52","E3",0,"OUTSIDE FIRE","B","DEPARTMENT OF PUBLIC WORKS","RYAN RD AND CEDAR ST","1 FRANEY RD",-71.1073628,42.396941,1,2013-04-19 08:37:00,2013-04-19,"2013-04","04","2013",0,42.396941,-71.1073628,"5.21666666666667","6.08333333333333","6.33333333333333","9.73333333333333","6.45","7.28333333333333","9.53333333333333","12.7166666666667","2.43333333333333","2.71666666666667","6","10.8","9.28333333333333","11.45"
"24","1 HOLLAND ST, Somerville, Massachusetts","1401042","MEDICAL AID","E6","1/30/2014 18:33","1/30/2014 18:35","1/30/2014 18:38","1/30/2014 18:43","E6",2.9,"MEDICAL AID","S","HOLLAND ST","DAVIS SQ AND WINTER ST","1 HOLLAND ST",-71.122633,42.3970061,1,2014-01-30 18:33:00,2014-01-30,"2014-01","01","2014",0,42.3970061,-71.122633,"5.66666666666667","8.2","12.3","13.6333333333333","6.9","10.6666666666667","10.6","15.6166666666667","3.5","6.31666666666667","2.4","5.16666666666667","9.9","13.9666666666667"
"25","1 MAXWELLS GREEN, Somerville, Massachusetts","1208729","GAS LEAK","C3","10/1/2012 8:23","10/1/2012 8:24","10/1/2012 8:27","10/1/2012 9:59","C3",3,"GAS LEAK","S","MAXWELL'S GREEN","LOWELL ST AND CLYDE ST","1 MAXWELLS GREEN",-71.1071229,42.3935087,1,2012-10-01 08:23:00,2012-10-01,"2012-10","10","2012",0,42.3935087,-71.1071229,"3.48333333333333","3.66666666666667","6.66666666666667","7.93333333333333","4.71666666666667","5.08333333333333","7.55","10.7166666666667","2.33333333333333","2.48333333333333","8.11666666666667","11.3","7.76666666666667","9.33333333333333"
"26","1 MCGRATH HWY, Somerville, Massachusetts","1403785","MEDICAL AID","E3","4/25/2014 14:58","4/25/2014 15:00","4/25/2014 15:02","4/25/2014 15:07","E3",2.63,"MEDICAL AID","B","LECHMERE CAR WASH","CAMBRDGE LINE & RAILROAD BRDGE","1 MCGRATH HWY",-71.081502,42.373924,1,2014-04-25 14:58:00,2014-04-25,"2014-04","04","2014",0,42.373924,-71.081502,"11.0333333333333","13.5","7.63333333333333","11.5","9.55","10.35","5.75","6.13333333333333","10.4","13.0166666666667","17.7833333333333","20.6666666666667","5.26666666666667","5.66666666666667"
"27","1 MCGRATH HWY, Somerville, Massachusetts","1408369","MEDICAL AID","E3","8/26/2014 11:14","8/26/2014 11:15","8/26/2014 11:18","8/26/2014 11:24","E3",3.42,"MEDICAL AID","B","LECHMERE CAR WASH","CAMBRDGE LINE & RAILROAD BRDGE","1 MCGRATH HWY",-71.081502,42.373924,1,2014-08-26 11:14:00,2014-08-26,"2014-08","08","2014",0,42.373924,-71.081502,"11.0333333333333","13.5","7.63333333333333","11.5","9.55","10.35","5.75","6.13333333333333","10.4","13.0166666666667","17.7833333333333","20.6666666666667","5.26666666666667","5.66666666666667"
"28","1 MCGRATH HWY, Somerville, Massachusetts","1403723","MEDICAL AID","E3","4/23/2014 20:25","4/23/2014 20:25","4/23/2014 20:28","4/23/2014 20:35","E3",2.52,"MEDICAL AID","B","LECHMERE CAR WASH","CAMBRDGE LINE & RAILROAD BRDGE","1 MCGRATH HWY",-71.081502,42.373924,1,2014-04-23 20:25:00,2014-04-24,"2014-04","04","2014",0,42.373924,-71.081502,"11.0333333333333","13.5","7.63333333333333","11.5","9.55","10.35","5.75","6.13333333333333","10.4","13.0166666666667","17.7833333333333","20.6666666666667","5.26666666666667","5.66666666666667"
"29","1 MORRISON AVE, Somerville, Massachusetts","1303424","MEDICAL AID","E7","4/9/2013 21:46","4/9/2013 21:46","4/9/2013 21:48","4/9/2013 21:59","E7",2.03,"MEDICAL AID","S","MORRISON AV","CEDAR ST AND BOSTON AV","1 MORRISON AV",-71.1108247,42.394472,1,2013-04-09 21:46:00,2013-04-10,"2013-04","04","2013",0,42.394472,-71.1108247,"4.01666666666667","4.81666666666667","7.71666666666667","8.88333333333333","5.25","6.08333333333333","8.35","11.65","1.25","1.48333333333333","6.16666666666667","7.51666666666667","8.08333333333333","10.1833333333333"
"30","1 OAK TER, Somerville, Massachusetts","1301040","MEDICAL AID","T1","1/31/2013 11:29","1/31/2013 11:35","1/31/2013 11:38","1/31/2013 11:50","T1",2.17,"MEDICAL AID","S","OAK TER","1 ELM ST AND DEAD END","1 OAK TER",-71.11293,42.3854612,1,2013-01-31 11:29:00,2013-01-31,"2013-01","01","2013",0,42.3854612,-71.11293,"0.55","0.566666666666667","9.61666666666667","12.3166666666667","1.78333333333333","2.11666666666667","7.66666666666667","10.55","2.68333333333333","2.56666666666667","8.8","9.1","6.3","7.81666666666667"
"31","1 OSSIPEE RD, Somerville, Massachusetts","1310822","GAS LEAK INSIDE","E6","10/30/2013 15:44","10/30/2013 15:46","10/30/2013 15:48","10/30/2013 16:06","E6",2.8,"GAS LEAK INSIDE","S","OSSIPEE RD","MASON ST AND PACKARD AV","1 OSSIPEE RD",-71.121753,42.403092,1,2013-10-30 15:44:00,2013-10-30,"2013-10","10","2013",0,42.403092,-71.121753,"7.88333333333333","10.4166666666667","9.03333333333333","14.6","9.15","10.8833333333333","13.3166666666667","17.3166666666667","6.03333333333333","6.78333333333333","1.95","2.21666666666667","12.1333333333333","16.1"
"32","1 POWDER HOUSE TER, Somerville, Massachusetts","1408697","FIRE","L3","9/4/2014 18:47","9/4/2014 18:47","9/4/2014 18:51","9/4/2014 18:59","L3",3.88,"FIRE","S","POWDER HOUSE TER","KIDDER AV AND LIBERTY AV","1 POWDER HOUSE TER",-71.117291,42.399012,1,2014-09-04 18:47:00,2014-09-04,"2014-09","09","2014",0,42.399012,-71.117291,"5.95","7.41666666666667","8.83333333333333","12.4166666666667","7.01666666666667","8.46666666666667","10.7166666666667","14.7333333333333","3.61666666666667","4.45","3.55","6.96666666666667","10.2","13.3"
"33","1 QUINCY ST, Somerville, Massachusetts","1407924","B FIRE ALARM","T1","8/14/2014 1:05","8/14/2014 1:06","8/14/2014 1:10","8/14/2014 1:19","T1",3.67,"B FIRE ALARM","S","QUINCY ST","SOMERVILLE AV AND SUMMER ST","1 QUINCY ST",-71.101241,42.3817656,1,2014-08-14 01:05:00,2014-08-14,"2014-08","08","2014",0,42.3817656,-71.101241,"2.76666666666667","3.45","7.31666666666667","10.35","1.28333333333333","1.66666666666667","4.61666666666667","5.6","4.7","6.51666666666667","11.6833333333333","13.1333333333333","3.25","4.11666666666667"
"34","1 SUMMER ST, Somerville, Massachusetts","1203731","ELEVATOR RESCUE","T1","5/5/2012 22:14","5/5/2012 22:15","5/5/2012 22:18","5/5/2012 22:46","T1",3.03,"ELEVATOR RESCUE","B","FIRST METHODIST CHURCH (OLD)","WESLEY PK AND VINAL AV","1 SUMMER ST",-71.0981117,42.3819693,1,2012-05-05 22:14:00,2012-05-06,"2012-05","05","2012",0,42.3819693,-71.0981117,"3.8","4.41666666666667","7.48333333333333","8.5","2.76666666666667","3.2","3.88333333333333","4.86666666666667","4.3","5.7","10.4833333333333","12.2333333333333","2.53333333333333","3.28333333333333"
"35","1 TILTON LN, Somerville, Massachusetts","1311502","MEDICAL AID","E6","11/18/2013 8:07","11/18/2013 8:08","11/18/2013 8:11","11/18/2013 8:22","E6",3.33,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2013-11-18 08:07:00,2013-11-18,"2013-11","11","2013",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"36","1 TILTON LN, Somerville, Massachusetts","1311429","MEDICAL AID","E6","11/16/2013 2:04","11/16/2013 2:05","11/16/2013 2:10","11/16/2013 2:23","E6",4.25,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2013-11-16 02:04:00,2013-11-16,"2013-11","11","2013",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"37","1 TILTON LN, Somerville, Massachusetts","1409691","MEDICAL AID","E6","9/28/2014 2:22","9/28/2014 2:23","9/28/2014 2:28","9/28/2014 2:44","E6",5.05,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2014-09-28 02:22:00,2014-09-28,"2014-09","09","2014",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"38","1 TILTON LN, Somerville, Massachusetts","1412306","S FIRE ALARM","E6","12/10/2014 0:11","12/10/2014 0:11","12/10/2014 0:15","12/10/2014 0:20","E6",4.13,"S FIRE ALARM","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2014-12-10 00:11:00,2014-12-10,"2014-12","12","2014",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"39","1 TILTON LN, Somerville, Massachusetts","1401855","S FIRE ALARM","E6","2/21/2014 19:23","2/21/2014 19:24","2/21/2014 19:27","2/21/2014 19:32","E6",3.33,"S FIRE ALARM","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2014-02-21 19:23:00,2014-02-22,"2014-02","02","2014",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"40","1 TILTON LN, Somerville, Massachusetts","1310294","MEDICAL AID","E6","10/15/2013 23:53","10/15/2013 23:54","10/15/2013 23:58","10/16/2013 0:11","E6",4.02,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2013-10-15 23:53:00,2013-10-16,"2013-10","10","2013",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"41","1 TILTON LN, Somerville, Massachusetts","1303735","MEDICAL AID","E6","4/19/2013 2:16","4/19/2013 2:16","4/19/2013 2:21","4/19/2013 2:30","E6",4.87,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2013-04-19 02:16:00,2013-04-19,"2013-04","04","2013",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"42","1 TILTON LN, Somerville, Massachusetts","1202644","MEDICAL AID","E6","4/1/2012 3:24","4/1/2012 3:25","4/1/2012 3:30","4/1/2012 3:38","E6",5.2,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2012-04-01 03:24:00,2012-04-01,"2012-04","04","2012",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"43","1 TILTON LN, Somerville, Massachusetts","1210102","MEDICAL AID","E6","11/3/2012 23:29","11/3/2012 23:30","11/3/2012 23:33","11/3/2012 23:40","E6",3.22,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2012-11-03 23:29:00,2012-11-04,"2012-11","11","2012",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
"44","1 TILTON LN, Somerville, Massachusetts","1207631","MEDICAL AID","E6","9/2/2012 0:22","9/2/2012 0:25","9/2/2012 0:30","9/2/2012 0:42","E6",4.43,"MEDICAL AID","B","TILTON HALL","20 LATIN WY AND DEAD END","1 TILTON LN",-71.1217867,42.4047777,1,2012-09-02 00:22:00,2012-09-02,"2012-09","09","2012",0,42.4047777,-71.1217867,"9.78333333333333","12.2666666666667","11.9166666666667","13.3166666666667","11.7","12.3333333333333","14.5833333333333","17.9666666666667","7.43333333333333","10.0333333333333","3.48333333333333","3.48333333333333","14.0166666666667","17.9333333333333"
